date,region,region_name,state,lat,lon,solar_mwh,demand_mwh,coal_mwh
2020-01-01,ER,East India,Odisha,20.95,85.09,1140.0,349000.0,415000.0
2020-01-01,NER,NE India,Assam,26.2,92.93,30.0,40000.0,12000.0
2020-01-01,NR,North India,Rajasthan,26.91,74.22,21810.0,1017000.0,503000.0
2020-01-01,SR,South India,Tamil Nadu,11.12,78.66,72660.0,922000.0,449000.0
2020-01-01,WR,West India,Gujarat,23.02,72.57,15700.0,1052000.0,1193000.0
2020-01-02,ER,East India,Odisha,20.95,85.09,1210.0,338000.0,420000.0
2020-01-02,NER,NE India,Assam,26.2,92.93,20.0,41000.0,13000.0
2020-01-02,NR,North India,Rajasthan,26.91,74.22,23050.0,991000.0,505000.0
2020-01-02,SR,South India,Tamil Nadu,11.12,78.66,71370.0,950000.0,463000.0
2020-01-02,WR,West India,Gujarat,23.02,72.57,13600.0,1064000.0,1199000.0
2020-01-03,ER,East India,Odisha,20.95,85.09,1080.0,332000.0,417000.0
2020-01-03,NER,NE India,Assam,26.2,92.93,0.0,40000.0,13000.0
2020-01-03,NR,North India,Rajasthan,26.91,74.22,27370.0,985000.0,514000.0
2020-01-03,SR,South India,Tamil Nadu,11.12,78.66,72820.0,964000.0,479000.0
2020-01-03,WR,West India,Gujarat,23.02,72.57,17100.0,1069000.0,1203000.0
2020-01-04,ER,East India,Odisha,20.95,85.09,1130.0,337000.0,421000.0
2020-01-04,NER,NE India,Assam,26.2,92.93,30.0,40000.0,13000.0
2020-01-04,NR,North India,Rajasthan,26.91,74.22,26930.0,985000.0,522000.0
2020-01-04,SR,South India,Tamil Nadu,11.12,78.66,75110.0,952000.0,537000.0
2020-01-04,WR,West India,Gujarat,23.02,72.57,18800.0,1075000.0,1187000.0
2020-01-05,ER,East India,Odisha,20.95,85.09,1260.0,330000.0,415000.0
2020-01-05,NER,NE India,Assam,26.2,92.93,20.0,39000.0,13000.0
2020-01-05,NR,North India,Rajasthan,26.91,74.22,15640.0,946000.0,497000.0
2020-01-05,SR,South India,Tamil Nadu,11.12,78.66,73030.0,906000.0,453000.0
2020-01-05,WR,West India,Gujarat,23.02,72.57,22400.0,1050000.0,1153000.0
2020-01-06,ER,East India,Odisha,20.95,85.09,1380.0,339000.0,427000.0
2020-01-06,NER,NE India,Assam,26.2,92.93,40.0,41000.0,15000.0
2020-01-06,NR,North India,Rajasthan,26.91,74.22,15780.0,970000.0,500000.0
2020-01-06,SR,South India,Tamil Nadu,11.12,78.66,63920.0,948000.0,467000.0
2020-01-06,WR,West India,Gujarat,23.02,72.57,24000.0,1099000.0,1184000.0
2020-01-07,ER,East India,Odisha,20.95,85.09,1360.0,345000.0,417000.0
2020-01-07,NER,NE India,Assam,26.2,92.93,30.0,41000.0,14000.0
2020-01-07,NR,North India,Rajasthan,26.91,74.22,12980.0,972000.0,522000.0
2020-01-07,SR,South India,Tamil Nadu,11.12,78.66,63260.0,959000.0,492000.0
2020-01-07,WR,West India,Gujarat,23.02,72.57,18400.0,1124000.0,1218000.0
2020-01-08,ER,East India,Odisha,20.95,85.09,1260.0,342000.0,419000.0
2020-01-08,NER,NE India,Assam,26.2,92.93,30.0,41000.0,13000.0
2020-01-08,NR,North India,Rajasthan,26.91,74.22,23920.0,940000.0,522000.0
2020-01-08,SR,South India,Tamil Nadu,11.12,78.66,77100.0,965000.0,490000.0
2020-01-08,WR,West India,Gujarat,23.02,72.57,20100.0,1102000.0,1207000.0
2020-01-09,ER,East India,Odisha,20.95,85.09,1060.0,334000.0,412000.0
2020-01-09,NER,NE India,Assam,26.2,92.93,20.0,42000.0,12000.0
2020-01-09,NR,North India,Rajasthan,26.91,74.22,31910.0,951000.0,495000.0
2020-01-09,SR,South India,Tamil Nadu,11.12,78.66,80600.0,984000.0,501000.0
2020-01-09,WR,West India,Gujarat,23.02,72.57,25200.0,1093000.0,1180000.0
2020-01-10,ER,East India,Odisha,20.95,85.09,1250.0,348000.0,399000.0
2020-01-10,NER,NE India,Assam,26.2,92.93,40.0,42000.0,11000.0
2020-01-10,NR,North India,Rajasthan,26.91,74.22,32100.0,989000.0,504000.0
2020-01-10,SR,South India,Tamil Nadu,11.12,78.66,83160.0,988000.0,506000.0
2020-01-10,WR,West India,Gujarat,23.02,72.57,25960.0,1088000.0,1162000.0
2020-01-11,ER,East India,Odisha,20.95,85.09,1450.0,346000.0,418000.0
2020-01-11,NER,NE India,Assam,26.2,92.93,10.0,42000.0,13000.0
2020-01-11,NR,North India,Rajasthan,26.91,74.22,26190.0,967000.0,494000.0
2020-01-11,SR,South India,Tamil Nadu,11.12,78.66,87370.0,982000.0,522000.0
2020-01-11,WR,West India,Gujarat,23.02,72.57,23000.0,1120000.0,1173000.0
2020-01-12,ER,East India,Odisha,20.95,85.09,1470.0,341000.0,425000.0
2020-01-12,NER,NE India,Assam,26.2,92.93,30.0,40000.0,11000.0
2020-01-12,NR,North India,Rajasthan,26.91,74.22,22980.0,932000.0,496000.0
2020-01-12,SR,South India,Tamil Nadu,11.12,78.66,90810.0,937000.0,513000.0
2020-01-12,WR,West India,Gujarat,23.02,72.57,21900.0,1114000.0,1162000.0
2020-01-13,ER,East India,Odisha,20.95,85.09,1990.0,351000.0,435000.0
2020-01-13,NER,NE India,Assam,26.2,92.93,30.0,41000.0,12000.0
2020-01-13,NR,North India,Rajasthan,26.91,74.22,13390.0,920000.0,503000.0
2020-01-13,SR,South India,Tamil Nadu,11.12,78.66,93970.0,975000.0,537000.0
2020-01-13,WR,West India,Gujarat,23.02,72.57,19100.0,1133000.0,1180000.0
2020-01-14,ER,East India,Odisha,20.95,85.09,1270.0,355000.0,430000.0
2020-01-14,NER,NE India,Assam,26.2,92.93,30.0,41000.0,11000.0
2020-01-14,NR,North India,Rajasthan,26.91,74.22,32420.0,930000.0,489000.0
2020-01-14,SR,South India,Tamil Nadu,11.12,78.66,94280.0,973000.0,511000.0
2020-01-14,WR,West India,Gujarat,23.02,72.57,20900.0,1078000.0,1168000.0
2020-01-15,ER,East India,Odisha,20.95,85.09,1370.0,351000.0,421000.0
2020-01-15,NER,NE India,Assam,26.2,92.93,40.0,39000.0,10000.0
2020-01-15,NR,North India,Rajasthan,26.91,74.22,31280.0,950000.0,479000.0
2020-01-15,SR,South India,Tamil Nadu,11.12,78.66,97280.0,893000.0,453000.0
2020-01-15,WR,West India,Gujarat,23.02,72.57,20400.0,1069000.0,1147000.0
2020-01-16,ER,East India,Odisha,20.95,85.09,1350.0,347000.0,414000.0
2020-01-16,NER,NE India,Assam,26.2,92.93,20.0,40000.0,11000.0
2020-01-16,NR,North India,Rajasthan,26.91,74.22,24910.0,911000.0,459000.0
2020-01-16,SR,South India,Tamil Nadu,11.12,78.66,96220.0,884000.0,435000.0
2020-01-16,WR,West India,Gujarat,23.02,72.57,21600.0,1083000.0,1151000.0
2020-01-17,ER,East India,Odisha,20.95,85.09,1350.0,348000.0,443000.0
2020-01-17,NER,NE India,Assam,26.2,92.93,50.0,40000.0,12000.0
2020-01-17,NR,North India,Rajasthan,26.91,74.22,30250.0,927000.0,461000.0
2020-01-17,SR,South India,Tamil Nadu,11.12,78.66,91300.0,934000.0,454000.0
2020-01-17,WR,West India,Gujarat,23.02,72.57,23000.0,1099000.0,1199000.0
2020-01-18,ER,East India,Odisha,20.95,85.09,1120.0,346000.0,454000.0
2020-01-18,NER,NE India,Assam,26.2,92.93,50.0,41000.0,11000.0
2020-01-18,NR,North India,Rajasthan,26.91,74.22,32380.000000000004,945000.0,463000.0
2020-01-18,SR,South India,Tamil Nadu,11.12,78.66,80430.0,948000.0,479000.0
2020-01-18,WR,West India,Gujarat,23.02,72.57,24100.0,1097000.0,1183000.0
2020-01-19,ER,East India,Odisha,20.95,85.09,1060.0,340000.0,434000.0
2020-01-19,NER,NE India,Assam,26.2,92.93,30.0,41000.0,11000.0
2020-01-19,NR,North India,Rajasthan,26.91,74.22,31940.0,911000.0,426000.0
2020-01-19,SR,South India,Tamil Nadu,11.12,78.66,80310.0,892000.0,444000.0
2020-01-19,WR,West India,Gujarat,23.02,72.57,21800.0,1088000.0,1130000.0
